#List of genes with at least 1 signal of positive selection across the 6792 samples.
#
##geneHGNCsymbol
##ALL_Leu,ALL_Mem,ALL_NewS,AST_NewS,AST_SJ,BCell_Lymp,BLCA_TCGA,BRCA_BC,BRCA_Broad,BRCA_JH,BRCA_Sanger,BRCA_TCGA,BRCA_WU,CLL_Broad,CLL_HC,COADREAD_TCGA,CO_JH,ESO_DFCI,GAST_Pfizer,GBM_JH,GBM_TCGA,HNSC_Broad,HNSC_TCGA,KIRC_TCGA,LAML_TCGA,LGG_TCGA,LIV_FR,LIV_ICGC,LUAD_TCGA,LUNG_TSP,LUSC_TCGA,MED_NewS,Myeloma_NewS,NBM_Broad,NSCLC_Wisc,OV_TCGA,PAAD_JH,PAAD_OICR,PAAD_QCMG,POOLED,PRAD_TCGA,PedBrain,SCLC_Cologne,SCLC_JH,SKCM_Broad,SKCM_TCGA,STAD_TCGA,THCA_TCGA,UCEC_TCGA = = projects where gene exhibits signals of positive selection. R: Gene exhibiting significant recurrence of mutations (detected by MutSigCV) in the corresponding tumor type; F: Gene exhibiting significant FMbias (detected by OncodriveFM) in the corresponding tumor type; C: Gene exhibiting significant clustering (detected by OncodriveCLUST) in the corresponding tumor type.
##Pooled: Results of the analysis of all TCGA datasets together
##VariousSignals_geneCounts: Number of datasets where the driver gene exhibits at least two signals of positive selection
##OneSingleSignal_geneCounts: Number of datasets where the driver gene exhibits at least one signal of positive selection
##Recur_counts: Number of datasets where the driver gene exhibits significant mutational recurrence
##FM_counts: Number of datasets where the driver gene exhibits significant FMbias
##CLUST_counts: Number of datasets where the driver gene exhibits significant CLUSTbias
##CGC: The driver gene is in the CGC
##HCD_seed: The driver gene is either a two-signal gene or a one-signal-CGC gene
##driver gene_connected: The driver gene is connected through protein-protein or functional interactions to an HCD_seed driver gene.
##Where_detected: Indicates whether the driver gene was detected as such either in a single project, in the pooled TCGA cohort, or in both.
###
geneHGNCsymbol	ALL_Leu	ALL_Mem	ALL_NewS	AST_NewS	AST_SJ	BCell_Lymp	BLCA_TCGA	BRCA_BC	BRCA_Broad	BRCA_JH	BRCA_Sanger	BRCA_TCGA	BRCA_WU	CLL_Broad	CLL_HC	COADREAD_TCGA	CO_JH	ESO_DFCI	GAST_Pfizer	GBM_JH	GBM_TCGA	HNSC_Broad	HNSC_TCGA	KIRC_TCGA	LAML_TCGA	LGG_TCGA	LIV_FR	LIV_ICGC	LUAD_TCGA	LUNG_TSP	LUSC_TCGA	MED_NewS	Myeloma_NewS	NBM_Broad	NSCLC_Wisc	OV_TCGA	PAAD_JH	PAAD_OICR	PAAD_QCMG	PRAD_TCGA	PedBrain	SCLC_Cologne	SCLC_JH	SKCM_Broad	SKCM_TCGA	STAD_TCGA	THCA_TCGA	UCEC_TCGA	Pooled	VariousSignals_geneCounts	OneSingleSignal_geneCounts	Recur_counts	FM_counts	CLUST_counts	CGC	HCD_seed	CD_connected	Where_Detected
C15orf55																																													F					0	1	0	1	0	CGC	HCD_seed		only_perPROJECT_detected
CDC73																																																	F	0	1	0	1	0	CGC	HCD_seed		only_POOLED_detected
CDK4																																												C						0	1	0	0	1	CGC	HCD_seed		only_perPROJECT_detected
CIITA																							C																											0	1	0	0	1	CGC	HCD_seed		only_perPROJECT_detected
CRTC3																																												C						0	1	0	0	1	CGC	HCD_seed		only_perPROJECT_detected
EIF4A2																																																	F	0	1	0	1	0	CGC	HCD_seed		only_POOLED_detected
ELF4																							C																											0	1	0	0	1	CGC	HCD_seed		only_perPROJECT_detected
ERBB2									C																																									0	1	0	0	1	CGC	HCD_seed		only_perPROJECT_detected
FAM46C																																	F																	0	1	0	1	0	CGC	HCD_seed		only_perPROJECT_detected
FAS																																																	F	0	1	0	1	0	CGC	HCD_seed		only_POOLED_detected
FBXO11						F																																												0	1	0	1	0	CGC	HCD_seed		only_perPROJECT_detected
FCRL4																																												C						0	1	0	0	1	CGC	HCD_seed		only_perPROJECT_detected
FIP1L1																																								F										0	1	0	1	0	CGC	HCD_seed		only_perPROJECT_detected
FOXP1																																																	F	0	1	0	1	0	CGC	HCD_seed		only_POOLED_detected
FUS																																																	R	0	1	1	0	0	CGC	HCD_seed		only_POOLED_detected
GNA11																																																	F	0	1	0	1	0	CGC	HCD_seed		only_POOLED_detected
GOLGA5																																																	F	0	1	0	1	0	CGC	HCD_seed		only_POOLED_detected
HLF																																																	F	0	1	0	1	0	CGC	HCD_seed		only_POOLED_detected
HNF1A																																								C										0	1	0	0	1	CGC	HCD_seed		only_perPROJECT_detected
HSP90AA1																																																	F	0	1	0	1	0	CGC	HCD_seed		only_POOLED_detected
HSP90AB1																																																	F	0	1	0	1	0	CGC	HCD_seed		only_POOLED_detected
KAT6B																										F																								0	1	0	1	0	CGC	HCD_seed		only_perPROJECT_detected
KLF6																																																	F	0	1	0	1	0	CGC	HCD_seed		only_POOLED_detected
LCP1																																																	F	0	1	0	1	0	CGC	HCD_seed		only_POOLED_detected
MEN1																																																	F	0	1	0	1	0	CGC	HCD_seed		only_POOLED_detected
MET																																																	R	0	1	1	0	0	CGC	HCD_seed		only_POOLED_detected
MKL1																																																	F	0	1	0	1	0	CGC	HCD_seed		only_POOLED_detected
MLH1																																																	F	0	1	0	1	0	CGC	HCD_seed		only_POOLED_detected
MLLT4												F																																						0	1	0	1	0	CGC	HCD_seed		only_perPROJECT_detected
MYC						F																																												0	1	0	1	0	CGC	HCD_seed		only_perPROJECT_detected
MYCN																																		C																0	1	0	0	1	CGC	HCD_seed		only_perPROJECT_detected
MYH11																																																	F	0	1	0	1	0	CGC	HCD_seed		only_POOLED_detected
NDRG1																																																	F	0	1	0	1	0	CGC	HCD_seed		only_POOLED_detected
NF2																																																	F	0	1	0	1	0	CGC	HCD_seed		only_POOLED_detected
PER1																																												F						0	1	0	1	0	CGC	HCD_seed		only_perPROJECT_detected
