#List of genes with at least 1 signal of positive selection across the 6792 samples.
#
##geneHGNCsymbol
##ALL_Leu,ALL_Mem,ALL_NewS,AST_NewS,AST_SJ,BCell_Lymp,BLCA_TCGA,BRCA_BC,BRCA_Broad,BRCA_JH,BRCA_Sanger,BRCA_TCGA,BRCA_WU,CLL_Broad,CLL_HC,COADREAD_TCGA,CO_JH,ESO_DFCI,GAST_Pfizer,GBM_JH,GBM_TCGA,HNSC_Broad,HNSC_TCGA,KIRC_TCGA,LAML_TCGA,LGG_TCGA,LIV_FR,LIV_ICGC,LUAD_TCGA,LUNG_TSP,LUSC_TCGA,MED_NewS,Myeloma_NewS,NBM_Broad,NSCLC_Wisc,OV_TCGA,PAAD_JH,PAAD_OICR,PAAD_QCMG,POOLED,PRAD_TCGA,PedBrain,SCLC_Cologne,SCLC_JH,SKCM_Broad,SKCM_TCGA,STAD_TCGA,THCA_TCGA,UCEC_TCGA = = projects where gene exhibits signals of positive selection. R: Gene exhibiting significant recurrence of mutations (detected by MutSigCV) in the corresponding tumor type; F: Gene exhibiting significant FMbias (detected by OncodriveFM) in the corresponding tumor type; C: Gene exhibiting significant clustering (detected by OncodriveCLUST) in the corresponding tumor type.
##Pooled: Results of the analysis of all TCGA datasets together
##VariousSignals_geneCounts: Number of datasets where the driver gene exhibits at least two signals of positive selection
##OneSingleSignal_geneCounts: Number of datasets where the driver gene exhibits at least one signal of positive selection
##Recur_counts: Number of datasets where the driver gene exhibits significant mutational recurrence
##FM_counts: Number of datasets where the driver gene exhibits significant FMbias
##CLUST_counts: Number of datasets where the driver gene exhibits significant CLUSTbias
##CGC: The driver gene is in the CGC
##HCD_seed: The driver gene is either a two-signal gene or a one-signal-CGC gene
##driver gene_connected: The driver gene is connected through protein-protein or functional interactions to an HCD_seed driver gene.
##Where_detected: Indicates whether the driver gene was detected as such either in a single project, in the pooled TCGA cohort, or in both.
###
geneHGNCsymbol	ALL_Leu	ALL_Mem	ALL_NewS	AST_NewS	AST_SJ	BCell_Lymp	BLCA_TCGA	BRCA_BC	BRCA_Broad	BRCA_JH	BRCA_Sanger	BRCA_TCGA	BRCA_WU	CLL_Broad	CLL_HC	COADREAD_TCGA	CO_JH	ESO_DFCI	GAST_Pfizer	GBM_JH	GBM_TCGA	HNSC_Broad	HNSC_TCGA	KIRC_TCGA	LAML_TCGA	LGG_TCGA	LIV_FR	LIV_ICGC	LUAD_TCGA	LUNG_TSP	LUSC_TCGA	MED_NewS	Myeloma_NewS	NBM_Broad	NSCLC_Wisc	OV_TCGA	PAAD_JH	PAAD_OICR	PAAD_QCMG	PRAD_TCGA	PedBrain	SCLC_Cologne	SCLC_JH	SKCM_Broad	SKCM_TCGA	STAD_TCGA	THCA_TCGA	UCEC_TCGA	Pooled	VariousSignals_geneCounts	OneSingleSignal_geneCounts	Recur_counts	FM_counts	CLUST_counts	CGC	HCD_seed	CD_connected	Where_Detected
ATN1												R																																						0	1	1	0	0				
ATP2A2																																												F						0	1	0	1	0				
ATP6V0A1																																																	F	0	1	0	1	0				
ATXN3																																																	F	0	1	0	1	0				
BARX2																																												C						0	1	0	0	1				
BAZ2A												F																																						0	1	0	1	0				
BBX																							F																											0	1	0	1	0				
BCAS1																													F																					0	1	0	1	0				
BCAS3																																																	F	0	1	0	1	0				
BCL6B																																												C						0	1	0	0	1				
BICD2																																																	F	0	1	0	1	0				
BIN2																																													F					0	1	0	1	0				
BRE																																																	F	0	1	0	1	0				
BRWD3																							F																											0	1	0	1	0				
BTBD7																																																	F	0	1	0	1	0				
C10orf137																																													F					0	1	0	1	0				
C11orf30																																																	F	0	1	0	1	0				
C14orf159																																												F						0	1	0	1	0				
C7orf25																																																F		0	1	0	1	0				
C9orf3																																													F					0	1	0	1	0				
CACNA1D																																																	F	0	1	0	1	0				
CADPS																F																																		0	1	0	1	0				
CADPS2																															F																			0	1	0	1	0				
CAMTA2																																														F				0	1	0	1	0				
CAPRIN2																																																	F	0	1	0	1	0				
CBS																																																	F	0	1	0	1	0				
CBX7																																																	R	0	1	1	0	0				
CCDC120																																																	F	0	1	0	1	0				
CCDC132																																												C						0	1	0	0	1				
CCDC41																																									C									0	1	0	0	1				
CDK13																																																	F	0	1	0	1	0				
CDK18																																												C						0	1	0	0	1				
CECR5																																						F												0	1	0	1	0				
CELF1																																																	F	0	1	0	1	0				
CEP41																																																	F	0	1	0	1	0				
CIZ1																																																	F	0	1	0	1	0				
CLIP2																													F																					0	1	0	1	0				
COPG2																																													F					0	1	0	1	0				
COPS4																																																	F	0	1	0	1	0				
COQ9																																																	F	0	1	0	1	0				
CPED1																																													F					0	1	0	1	0				
CPSF3L																																																	F	0	1	0	1	0				
CRAT																																												C						0	1	0	0	1				
CYB5R4																																																	F	0	1	0	1	0				
CYC1																															F																			0	1	0	1	0				
DARS																																																	F	0	1	0	1	0				
DBR1																																													F					0	1	0	1	0				
DCTD																																																	F	0	1	0	1	0				
DDX59																			F																															0	1	0	1	0				
DDX60L																																												C						0	1	0	0	1				
DENND6A																																																	F	0	1	0	1	0				
DEPDC5																					F																													0	1	0	1	0				
DHTKD1																																																	F	0	1	0	1	0				
DHX36																			F																															0	1	0	1	0				
DISP1																																													F					0	1	0	1	0				
DIXDC1																																												C						0	1	0	0	1				
DMXL2																																																	F	0	1	0	1	0				
DNAH5																																							F											0	1	0	1	0				
DNAH7																								F																										0	1	0	1	0				
DNAH8																																								F										0	1	0	1	0				
DNAH9																																																F		0	1	0	1	0				
DNMBP																																													F					0	1	0	1	0				
DOT1L																													F																					0	1	0	1	0				
DPP9																																																	F	0	1	0	1	0				
DSP												F																																						0	1	0	1	0				
DSTYK																																																	F	0	1	0	1	0				
DTNA																																												F						0	1	0	1	0				
DUS2L																																												F						0	1	0	1	0				
DYNC1LI2																																																	F	0	1	0	1	0				
DYSF																																																F		0	1	0	1	0				
EDIL3																																														F				0	1	0	1	0				
EFCAB7																																													F					0	1	0	1	0				
EHD1																																	F																	0	1	0	1	0				
EPB41L2																																													F					0	1	0	1	0				
EPB41L3																		F																																0	1	0	1	0				
EPB41L4A																																												F						0	1	0	1	0				
EPRS																																																	F	0	1	0	1	0				
ERC1																																																	F	0	1	0	1	0				
ETV3																																								F										0	1	0	1	0				
EXO5																																																	F	0	1	0	1	0				
F5																					F																													0	1	0	1	0				
FAM173B																																																	F	0	1	0	1	0				
FAM179B																																																	F	0	1	0	1	0				
FAM18A																																														F				0	1	0	1	0				
FBN1																																																	F	0	1	0	1	0				
FBN2																													R																					0	1	1	0	0				
FCHSD2																																																	F	0	1	0	1	0				
FEM1A																																								C										0	1	0	0	1				
FGD6																																																	F	0	1	0	1	0				
FHOD3																																																	F	0	1	0	1	0				
FKBP2																																																	R	0	1	1	0	0				
FLG																							R																											0	1	1	0	0				
FMO3																													F																					0	1	0	1	0				
FNDC3A																													F																					0	1	0	1	0				
FNIP1																																																	F	0	1	0	1	0				
FPR3																																												C						0	1	0	0	1				
FRAS1																													F																					0	1	0	1	0				
FRMD4B																																												C						0	1	0	0	1				
FUT11																																																	F	0	1	0	1	0				
GALC																													F																					0	1	0	1	0				
GALNT12																																												F						0	1	0	1	0				
GBGT1																																																	F	0	1	0	1	0				
GBP3																																																	F	0	1	0	1	0				
GLE1												R																																						0	1	1	0	0				
GLIPR1																																																	F	0	1	0	1	0				
GLRX3																																																	F	0	1	0	1	0				
GLS																																																	F	0	1	0	1	0				
GOLGB1														F																																				0	1	0	1	0				
GOT2																																																	F	0	1	0	1	0				
GSS																																													F					0	1	0	1	0				
GTDC1																																																	F	0	1	0	1	0				
GUSB																													F																					0	1	0	1	0				
H3F3C																																																	F	0	1	0	1	0				
HARS2																																																	F	0	1	0	1	0				
HAUS6																																																	F	0	1	0	1	0				
HDLBP																													F																					0	1	0	1	0				
HECTD4												F																																						0	1	0	1	0				
HERC3																							C																											0	1	0	0	1				
HERC4																																																	F	0	1	0	1	0				
HIVEP1																								F																										0	1	0	1	0				
HMGXB4																																																	F	0	1	0	1	0				
HOOK1																																																	F	0	1	0	1	0				
HSPBAP1																																																	C	0	1	0	0	1				
ICA1																																												F						0	1	0	1	0				
IFITM1																																																	R	0	1	1	0	0				
IFT140																							C																											0	1	0	0	1				
ILDR1																																												C						0	1	0	0	1				
INO80																																														F				0	1	0	1	0				
INTS4																																																	F	0	1	0	1	0				
ITPR1																					F																													0	1	0	1	0				
IWS1																																													F					0	1	0	1	0				
JMJD6																																																	F	0	1	0	1	0				
KANSL1																																																	F	0	1	0	1	0				
KARS																																																	F	0	1	0	1	0				
KCNS3																		F																																0	1	0	1	0				
KDM5B																																																	F	0	1	0	1	0				
KIAA0240																																								C										0	1	0	0	1				
KIAA0528																																																	F	0	1	0	1	0				
KIAA0907																																																	R	0	1	1	0	0				
KIAA1009																																																	F	0	1	0	1	0				
KIAA1324L																													F																					0	1	0	1	0				
KIF21B																															F																			0	1	0	1	0				
KIF3A																																																	F	0	1	0	1	0				
KLC4																																																	F	0	1	0	1	0				
KLHDC4																																												F						0	1	0	1	0				
KPNA6																																																	F	0	1	0	1	0				
LARP4B																																																	F	0	1	0	1	0				
LDB2																																																	F	0	1	0	1	0				
LETMD1																																																	F	0	1	0	1	0				
LGALS9																																												C						0	1	0	0	1				
LNX1																																													F					0	1	0	1	0				
LONP2																																																	F	0	1	0	1	0				
LONRF2																																													F					0	1	0	1	0				
LRCH1																																																	F	0	1	0	1	0				
LRRK2																			C																															0	1	0	0	1				
LTBP1																							F																											0	1	0	1	0				
LUC7L2																																																	F	0	1	0	1	0				
MAP1A												F																																						0	1	0	1	0				
MARCH7																																																	F	0	1	0	1	0				
MARVELD2																																													F					0	1	0	1	0				
MAST2																																																	F	0	1	0	1	0				
MASTL																			F																															0	1	0	1	0				
MBNL1																																																	F	0	1	0	1	0				
MBOAT7																							C																											0	1	0	0	1				
MCRS1																																																	F	0	1	0	1	0				
MCTP2																																												F						0	1	0	1	0				
ME1																																						F												0	1	0	1	0				
MEGF6																								F																										0	1	0	1	0				
METAP1																																																	F	0	1	0	1	0				
METTL14																																																	F	0	1	0	1	0				
MGAT4B																																																	F	0	1	0	1	0				
MIER3																																																	F	0	1	0	1	0				
MLL5																																																	F	0	1	0	1	0				
MOCOS																			F																															0	1	0	1	0				
MRPS31																																																	F	0	1	0	1	0				
MSL3																																																	F	0	1	0	1	0				
MTHFD1L																																																	F	0	1	0	1	0				
MTM1																																																	F	0	1	0	1	0				
MTMR1																																												F						0	1	0	1	0				
MTMR6																																																	F	0	1	0	1	0				
MYEF2																																																	F	0	1	0	1	0				
NAA15																																																F		0	1	0	1	0				
NAA25																							F																											0	1	0	1	0				
NAMPT																																																	F	0	1	0	1	0				
NAPEPLD																																																	F	0	1	0	1	0				
NBEAL2												F																																						0	1	0	1	0				
NBPF9																																																	C	0	1	0	0	1				
NDUFAF1																																																	F	0	1	0	1	0				
NDUFS1																																																	F	0	1	0	1	0				
NEK4																																																	F	0	1	0	1	0				
NEO1																																																	F	0	1	0	1	0				
NHP2																																																	R	0	1	1	0	0				
NIPBL																										F																								0	1	0	1	0				
NKTR																																																	F	0	1	0	1	0				
NLRC5																							C																											0	1	0	0	1				
NME7																																																	F	0	1	0	1	0				
NMT1																																																	F	0	1	0	1	0				
NMT2																																																	F	0	1	0	1	0				
NUCB2																																																	F	0	1	0	1	0				
OSBPL1A																							F																											0	1	0	1	0				
OTUD4																										C																								0	1	0	0	1				
PACS2																																																	F	0	1	0	1	0				
PAPSS1																																																	F	0	1	0	1	0				
PARP6																																																	F	0	1	0	1	0				
PCCB																																			F															0	1	0	1	0				
PCED1B																																												C						0	1	0	0	1				
PDE5A																							F																											0	1	0	1	0				
PDE8A																																																	F	0	1	0	1	0				
PEX2																																																	F	0	1	0	1	0				
PGM5																																																	F	0	1	0	1	0				
PHACTR4																																																	F	0	1	0	1	0				
PHC3																																																	F	0	1	0	1	0				
PHKA1																																													F					0	1	0	1	0				
PHKA2																																																F		0	1	0	1	0				
PIGB																																																	F	0	1	0	1	0				
PLCH2																																																	F	0	1	0	1	0				
PLEKHH2																																													F					0	1	0	1	0				
PLXND1																													F																					0	1	0	1	0				
PNPT1																																																	F	0	1	0	1	0				
PODXL																																																	R	0	1	1	0	0				
POLL																																																	F	0	1	0	1	0				
POR																																																	F	0	1	0	1	0				
POT1														F																																				0	1	0	1	0				
PPFIA1																															R																			0	1	1	0	0				
PPFIA4																																																F		0	1	0	1	0				
PPM1F																																																	F	0	1	0	1	0				
PPP1R21																																												F						0	1	0	1	0				
PPP1R9A																																																	F	0	1	0	1	0				
PPP4R2																																																	F	0	1	0	1	0				
PRCP																																																	F	0	1	0	1	0				
PRICKLE3																																																	F	0	1	0	1	0				
PRKRIR																																																	F	0	1	0	1	0				
PROM1																																																	F	0	1	0	1	0				
PROS1																																																	F	0	1	0	1	0				
PRPF38B																																																	F	0	1	0	1	0				
PSAT1																																																	R	0	1	1	0	0				
PTGIS																													F																					0	1	0	1	0				
PTMS												R																																						0	1	1	0	0				
PTPN3																																																	F	0	1	0	1	0				
PTPRK																																																	F	0	1	0	1	0				
QKI																					F																													0	1	0	1	0				
RAB3GAP1																																																F		0	1	0	1	0				
RABGAP1L																																																	F	0	1	0	1	0				
RAPGEF6																																																	F	0	1	0	1	0				
RBM47														F																																				0	1	0	1	0				
RC3H2																																																	F	0	1	0	1	0				
RFX7						F																																												0	1	0	1	0				
RIF1																																										F								0	1	0	1	0				
RNF111																																																	F	0	1	0	1	0				
RNF43																																														F				0	1	0	1	0				
RPAP1																																																	F	0	1	0	1	0				
RPGRIP1L																																													F					0	1	0	1	0				
RRAGC						F																																												0	1	0	1	0				
RSBN1L									C																																									0	1	0	0	1				
RTF1																							F																											0	1	0	1	0				
RTFDC1																																																	F	0	1	0	1	0				
RUFY2																																																	F	0	1	0	1	0				
RUFY3																																																	F	0	1	0	1	0				
RYR1																																											F							0	1	0	1	0				
SAAL1																													F																					0	1	0	1	0				
SACS																																													F					0	1	0	1	0				
SAE1																																																	F	0	1	0	1	0				
SEC16B																																												C						0	1	0	0	1				
SEC23B																																																	F	0	1	0	1	0				
SEC63																																																	F	0	1	0	1	0				
SECISBP2L																																																	F	0	1	0	1	0				
SEMA4F																																																F		0	1	0	1	0				
SENP5																																												C						0	1	0	0	1				
SENP7																																																	F	0	1	0	1	0				
SEPT3																													F																					0	1	0	1	0				
SERINC5																																												C						0	1	0	0	1				
SESTD1																																																	F	0	1	0	1	0				
SF1																																																	F	0	1	0	1	0				
SFXN5																																																	F	0	1	0	1	0				
SIL1																																																	R	0	1	1	0	0				
SIPA1L1																																													F					0	1	0	1	0				
SKAP2																																																	F	0	1	0	1	0				
SKIV2L																																			F															0	1	0	1	0				
SLC16A4																																							F											0	1	0	1	0				
SLC27A2																																																	F	0	1	0	1	0				
SLC46A3																																												C						0	1	0	0	1				
SLC4A4																													F																					0	1	0	1	0				
SLC4A7																																																	F	0	1	0	1	0				
SLC8A1																																																	F	0	1	0	1	0				
SLIT3																																										F								0	1	0	1	0				
SMAP1																																																	F	0	1	0	1	0				
SMCHD1																					F																													0	1	0	1	0				
SMTN																																														F				0	1	0	1	0				
SNTB1																							F																											0	1	0	1	0				
SORBS1																																												C						0	1	0	0	1				
SP140																																	F																	0	1	0	1	0				
SPAG16																																													F					0	1	0	1	0				
ST5																																																F		0	1	0	1	0				
STAU2																			F																															0	1	0	1	0				
SUCO																																												C						0	1	0	0	1				
SULF1																																																	F	0	1	0	1	0				
SYNRG																															F																			0	1	0	1	0				
SYTL1																																																	F	0	1	0	1	0				
SYTL2																																														F				0	1	0	1	0				
TACC3							F																																											0	1	0	1	0				
TANC2																													F																					0	1	0	1	0				
TBC1D22A																																																	F	0	1	0	1	0				
TBC1D2B																																								C										0	1	0	0	1				
TBC1D5																																													F					0	1	0	1	0				
TBC1D7																																																	F	0	1	0	1	0				
TENM3																																												F						0	1	0	1	0				
TENM4																																																	F	0	1	0	1	0				
THOC2																																																	F	0	1	0	1	0				
TM9SF1																F																																		0	1	0	1	0				
TMED10																																																	R	0	1	1	0	0				
TMEM135																																												F						0	1	0	1	0				
TMEM216																																								F										0	1	0	1	0				
TMTC1																													F																					0	1	0	1	0				
TMTC2																																																	F	0	1	0	1	0				
TMTC3																																																	F	0	1	0	1	0				
TNRC6B																F																																		0	1	0	1	0				
TNXB																																													F					0	1	0	1	0				
TPI1																																																	F	0	1	0	1	0				
TPTE2																					F																													0	1	0	1	0				
TRIM6																																																	F	0	1	0	1	0				
TRIOBP																																																F		0	1	0	1	0				
TRIP12																																																	F	0	1	0	1	0				
TRPA1																F																																		0	1	0	1	0				
TRPS1																																																	F	0	1	0	1	0				
TUFT1																																																	F	0	1	0	1	0				
TULP3																																																	F	0	1	0	1	0				
TXNL1																																																	F	0	1	0	1	0				
UBAP2																																												F						0	1	0	1	0				
UBC												F																																						0	1	0	1	0				
UGGT2																																																	F	0	1	0	1	0				
UGP2																																																	F	0	1	0	1	0				
USP28																																																	F	0	1	0	1	0				
VEZT																															F																			0	1	0	1	0				
VPS51																																												C						0	1	0	0	1				
VTA1																																																	F	0	1	0	1	0				
WAC																																																	F	0	1	0	1	0				
WAPAL																																														F				0	1	0	1	0				
WDHD1																																																	F	0	1	0	1	0				
WDR47																																																	F	0	1	0	1	0				
WDR75																																													F					0	1	0	1	0				
WDR90																					F																													0	1	0	1	0				
WWC2																																																	F	0	1	0	1	0				
XPR1																																																	F	0	1	0	1	0				
ZC3H13																F																																		0	1	0	1	0				
ZC3HC1																																																	F	0	1	0	1	0				
ZCCHC8																																																	F	0	1	0	1	0				
ZFP106																			F																															0	1	0	1	0				
ZFP64																																												C						0	1	0	0	1				
ZMYM3																																								F										0	1	0	1	0				
ZMYM4																																																	F	0	1	0	1	0				
ZNF211																							F																											0	1	0	1	0				
ZNF217																							F																											0	1	0	1	0				
ZNF268																																																	R	0	1	1	0	0				
ZNF295																																																F		0	1	0	1	0				
ZNF335																																												F						0	1	0	1	0				
ZNF415																																																	F	0	1	0	1	0				
ZNF451																																																	F	0	1	0	1	0				
ZNF480																																																	F	0	1	0	1	0				
ZNF510																							C																											0	1	0	0	1				
ZNF513							R																																											0	1	1	0	0				
ZNF528																																																	F	0	1	0	1	0				
ZNF711																													F																					0	1	0	1	0				
ZNF768																																																	F	0	1	0	1	0				
ZNF91																																								C										0	1	0	0	1				
ZNRF3																																																	F	0	1	0	1	0				
ZSWIM8																																																	F	0	1	0	1	0				
