Normal_transcript	Tumor_transcript	Origin
uc001apq.1	uc001aps.2	Tumor
uc001apq.1	uc010oad.1	Tumor
uc001apv.2	uc010oae.1	Tumor
uc001apw.2	uc001apx.2	Tumor
uc001apy.2	uc001apz.2	Tumor
uc001apz.2	uc001apy.2	Tumor
uc001aqb.3	uc010oaf.1	Tumor
uc001aqf.2	uc001aqi.2	Tumor
uc001aqh.2	uc010oag.1	Tumor
uc001aqi.2	uc001aqf.2	Tumor
uc001aqi.2	uc010oag.1	Tumor
uc001aql.1	uc001aqk.1	Tumor
uc001aqm.2	uc001aqo.2	Tumor
uc001aqo.2	uc009vmr.2	Tumor
uc001aqr.3	uc001aqs.3	Tumor
uc001aqr.3	uc001aqu.2	Immune&Stroma
uc001aqr.3	uc010oaj.1	Tumor
uc001aqu.2	uc001aqr.3	Tumor
uc001aqv.3	uc001aqw.3	Tumor
uc001aqv.3	uc001aqy.2	Tumor
uc001aqv.3	uc001ara.2	Tumor
uc001aqw.3	uc001aqv.3	Tumor
uc001aqw.3	uc001ara.2	Tumor
uc001ara.2	uc001arb.2	Tumor
uc001arc.2	uc001ard.2	Tumor
uc001arc.2	uc010oak.1	Tumor
uc001arh.2	uc001are.2	Tumor
uc001arj.2	uc001ark.2	Tumor
uc001arn.2	uc001arl.2	Tumor
uc001arn.2	uc009vmv.2	Tumor
uc001arn.2	uc009vmw.2	Tumor
uc001arn.2	uc010oam.1	Tumor
uc001arn.2	uc010oan.1	Tumor
uc001aro.2	uc001arp.1	Tumor
uc001aro.2	uc009vmx.2	Tumor
uc001arr.1	uc001ars.1	Tumor
uc001arr.1	uc010oao.1	Tumor
uc001ars.1	uc001arr.1	Tumor
uc001ars.1	uc010oao.1	Tumor
uc001art.2	uc010oap.1	Tumor
uc001aru.2	uc001arv.2	Tumor
uc001aru.2	uc001arw.2	Tumor
uc001aru.2	uc001arx.1	Tumor
uc001ary.1	uc001arz.1	Tumor
uc001arz.1	uc001ary.1	Tumor
uc001asc.2	uc001asd.2	Tumor
uc001asd.2	uc001asc.2	Tumor
uc001ash.3	uc009vmz.1	Tumor
uc001asj.2	uc009vna.2	Tumor
uc001ask.2	uc001asn.2	Tumor
uc001asm.2	uc001asl.2	Tumor
uc001asm.2	uc001asn.2	Tumor
uc001asm.2	uc010oar.1	Tumor
uc001asm.2	uc010oas.1	Tumor
uc001asn.2	uc001ask.2	Tumor
uc001asn.2	uc001asl.2	Tumor
uc001asn.2	uc010oar.1	Tumor
uc001asn.2	uc010oas.1	Tumor
uc001asp.2	uc009vnc.2	Tumor
uc001asu.2	uc001ast.2	Tumor
uc001asv.2	uc001asx.2	Tumor
uc001asw.2	uc001asu.2	Tumor
uc001asw.2	uc001asx.2	Tumor
