GeneId	Symbol	Normal_transcript	Tumor_transcript	MS	M	S	N	p.o	OR	eOR
7850	IL1R2	uc002tbo.1	uc002tbn.2	0	9	1	84	1	0	2.96491228070175
7851	MALL	uc002tfk.2	uc010fju.2	0	7	3	85	1	0	1.62857142857143
78986	DUSP26	uc003xjq.2	uc003xjp.2	0	4	6	111	1	0	1.90598290598291
79003	MIS12	uc002gcd.2	uc002gce.2	0	3	8	130	1	0	2.19327731092437
79022	TMEM106C	uc001rqo.2	uc001rqp.2	0	1	1	93	1	0	20.7777777777778
79025	C20orf195	uc002yfj.2	uc002yfk.2	0	3	3	134	1	0	5.48979591836735
79034	C7orf26	uc003sqo.1	uc003sqp.1	1	2	0	92	0.031578947368421	Inf	111
79037	PVRIG	uc003uuf.1	uc003uue.2	0	1	2	92	1	0	12.3333333333333
79071	ELOVL6	uc003hzz.2	uc003iaa.2	0	17	1	77	1	0	1.47619047619048
79109	MAPKAP1	uc004bpv.2	uc004bqa.2	1	84	2	95	0.85080849169247	0.567178934347981	0.67810650887574
79157	MFSD11	uc002jtd.3	uc010dhb.2	1	12	1	126	0.177697841726619	10.1280717348415	10.12
79157	MFSD11	uc002jtd.3	uc010dha.2	0	6	1	87	1	0	4.48717948717949
79176	FBXL15	uc001kvl.1	uc001kvk.2	0	1	1	93	1	0	20.7777777777778
7920	BAT5	uc003nvy.1	uc003nvz.1	0	5	1	89	1	0	5.42424242424242
7922	SLC39A7	uc003odf.2	uc003odh.2	0	1	1	93	1	0	20.7777777777778
7942	TFEB	uc003oqu.1	uc003oqr.1	0	8	2	84	1	0	1.98823529411765
7942	TFEB	uc003oqu.1	uc003oqt.1	1	8	0	84	0.0967741935483873	Inf	29.8235294117647
79570	NKAIN1	uc010ogc.1	uc010ogd.1	0	19	2	99	1	0	1.02051282051282
79570	NKAIN1	uc010ogc.1	uc001bsn.2	0	12	1	81	1	0	2.17333333333333
79600	TCTN1	uc010syb.1	uc001trp.3	0	4	1	90	1	0	6.7037037037037
79602	ADIPOR2	uc001qjm.2	uc001qjn.2	0	19	1	75	1	0	1.29059829059829
79603	LASS4	uc002mjg.2	uc002mjh.2	0	12	2	115	1	0	1.848
79607	FAM118B	uc001qdf.2	uc001qdg.2	0	5	1	89	1	0	5.42424242424242
79624	C6orf211	uc003qok.1	uc011ees.1	0	5	3	133	1	0	3.46753246753247
79631	EFTUD1	uc002bgt.1	uc002bgs.1	2	21	1	85	0.112078081682815	7.88225909215925	6.62790697674419
79635	CCDC121	uc002rle.2	uc010eze.2	0	2	8	130	1	0	3.07058823529412
79637	ARMC7	uc002jmw.1	uc002jmv.1	0	3	2	134	1	0	7.68571428571429
79637	ARMC7	uc002jmw.1	uc010dga.1	0	1	2	91	1	0	12.2
79639	TMEM53	uc001cmc.2	uc001cmb.1	0	6	3	131	1	0	2.89010989010989
79648	MCPH1	uc003wqh.2	uc011kwl.1	0	27	1	67	1	0	0.818181818181818
79658	ARHGAP10	uc003ilf.2	uc003ili.2	2	52	2	85	0.496131916985244	1.6286431924554	1.62857142857143
79661	NEIL1	uc002bad.2	uc002bae.2	0	4	9	127	1	0	1.49122807017544
79690	GAL3ST4	uc003utu.2	uc010lgq.2	0	3	11	153	1	0	1.90683229813665
79736	C17orf42	uc002hfu.2	uc002hfv.2	0	2	2	91	1	0	7.32
79752	ZFAND1	uc003ycj.1	uc003yck.1	1	3	10	127	0.28004439318903	4.15911871951177	5.20408163265306
79754	ASB13	uc001iig.2	uc001iii.2	0	13	12	189	1	0	0.561481481481481
7976	FZD3	uc010lvb.2	uc003xgx.2	0	19	18	132	1	0	0.183645183645184
79770	TXNDC15	uc003lac.1	uc011cxv.1	0	8	3	129	1	0	2.17647058823529
79774	GRTP1	uc001vtn.2	uc010tkc.1	1	28	2	78	0.608638905560795	1.38833157664693	1.65263157894737
79794	C12orf49	uc001tvz.1	uc009zwm.1	0	2	1	92	1	0	12.3333333333333
79815	NIPAL2	uc003yim.1	uc011lgw.1	0	13	1	81	1	0	2.01234567901235
79828	METTL8	uc002ugv.3	uc002ugu.3	0	10	2	82	1	0	1.57142857142857
