Tumor	GeneId	Symbol	Normal_transcript	Tumor_transcript	MS	M	S	N	p.o
brca	1781	DYNC1I2	uc002uhf.1	uc002uhd.1	1	12	1	81	0.256215005599104
brca	79956	ERMP1	uc003zjm.1	uc010mhs.1	1	12	1	81	0.256215005599104
brca	84939	MUM1	uc002lrz.2	uc002lsd.2	1	8	2	84	0.260629267059206
brca	9429	ABCG2	uc003hrg.2	uc003hrh.2	1	24	0	70	0.263157894736842
brca	9448	MAP4K4	uc002tbf.2	uc010yvz.1	1	24	0	70	0.263157894736842
brca	9832	JAKMIP2	uc011dbx.1	uc003loq.1	1	24	0	70	0.263157894736842
brca	63027	SLC22A23	uc003mvo.3	uc003mvm.3	1	24	0	70	0.263157894736842
brca	2054	STX2	uc001uip.2	uc001uio.2	1	3	6	85	0.267517814260518
brca	160335	TMTC2	uc001szt.2	uc010suk.1	2	48	0	45	0.274356103023516
brca	30011	SH3KBP1	uc004czl.2	uc011mjf.1	2	49	0	44	0.28555431131019
brca	79752	ZFAND1	uc003ycj.1	uc003yck.1	1	2	9	83	0.286421269371094
brca	55105	GPATCH2	uc001hlg.3	uc001hlf.1	1	26	0	67	0.287234042553191
brca	56947	MFF	uc002vot.2	uc002voz.2	1	4	5	83	0.289033195505295
brca	92370	ACPL2	uc003etv.2	uc011bnb.1	1	9	2	81	0.291948584374952
brca	6119	RPA3	uc003srh.2	uc003sri.2	1	14	1	79	0.292273236282195
brca	50717	DCAF8	uc001fvo.2	uc010pjb.1	1	14	1	79	0.292273236282195
brca	146754	DNAH2	uc010cnm.1	uc002giu.1	1	14	1	79	0.292273236282195
brca	125144	NCRNA00188	uc002gqb.3	uc010vwg.1	1	7	3	84	0.300812459066858
brca	257397	TAB3	uc004dck.2	uc010ngl.2	1	28	0	66	0.305263157894737
brca	54812	AFTPH	uc002sdb.2	uc002sdc.2	1	10	2	82	0.31160640104035
brca	80148	PQLC1	uc002lnl.2	uc010xfm.1	1	10	2	82	0.31160640104035
brca	144193	AMDHD1	uc009zth.1	uc001tel.1	1	2	10	82	0.31160640104035
brca	644873	FLJ33630	uc003kur.2	uc003kun.2	1	15	1	77	0.312971859986273
brca	8736	MYOM1	uc002klq.2	uc002klp.2	1	29	0	65	0.315789473684211
brca	9722	NOS1AP	uc001gbv.2	uc009wut.1	1	29	0	65	0.315789473684211
brca	8878	SQSTM1	uc003mkw.3	uc011dgs.1	1	6	4	84	0.323862597778939
brca	51130	ASB3	uc002rxg.1	uc002rxf.1	1	30	0	64	0.326315789473684
brca	2138	EYA1	uc003xyr.3	uc003xyt.3	1	30	0	63	0.329787234042553
brca	55129	ANO10	uc003cmv.2	uc011azt.1	1	16	1	76	0.330587966140471
brca	28316	CDH20	uc010dps.1	uc002lif.2	1	31	0	63	0.336842105263158
