Tumor	GeneId	Symbol	Normal_transcript	Tumor_transcript	Recurrence	Affects_mutated_feature	PPI	Pannegative
brca	666	BOK	uc002wbq.2	uc002wbr.2	1	0	1	0
brca	10844	TUBGCP2	uc001lmg.1	uc010qvd.1	0	0	0	0
brca	6509	SLC1A4	uc010yqa.1	uc010ypz.1	0	0	0	0
brca	57647	DHX37	uc001ugy.2	uc001ugz.1	1	1	1	0
brca	80213	TM2D3	uc002bxj.2	uc002bxi.2	0	0	0	3
brca	81	ACTN4	uc002oja.1	uc002ojb.1	1	0	1	0
brca	55622	TTC27	uc002rom.2	uc002ron.2	1	0	0	0
brca	8805	TRIM24	uc003vuc.2	uc003vub.2	1	1	0	0
brca	1786	DNMT1	uc002mng.2	uc002mnf.2	1	1	0	0
brca	4144	MAT2A	uc002spr.2	uc010fgk.2	1	0	0	0
brca	3030	HADHA	uc002rgy.2	uc010yks.1	1	0	0	0
brca	7405	UVRAG	uc010rrw.1	uc001oxc.2	0	0	0	0
brca	57020	C16orf62	uc002dgn.1	uc002dgp.1	1	0	0	0
brca	8878	SQSTM1	uc003mkw.3	uc011dgs.1	0	0	1	0
brca	9633	MTL5	uc001ooc.2	uc001ooe.2	0	1	0	1
brca	79932	KIAA0319L	uc001byx.2	uc001byw.2	1	0	0	0
brca	9343	EFTUD2	uc002ihn.2	uc010wje.1	1	0	0	0
brca	55094	GPATCH1	uc002nug.1	uc002nuh.1	1	0	0	0
brca	171017	ZNF384	uc010sfh.1	uc001qqd.2	0	1	0	0
brca	54812	AFTPH	uc002sdb.2	uc002sdc.2	1	0	0	0
brca	8481	OFD1	uc004cvp.3	uc004cvu.3	1	0	0	0
brca	3156	HMGCR	uc003kdp.2	uc010izp.2	0	0	0	0
brca	54802	TRIT1	uc010oiz.1	uc001cel.2	0	0	0	0
brca	26354	GNL3	uc003dfd.2	uc003dff.2	1	0	0	0
brca	24144	TFIP11	uc003act.2	uc003acq.2	1	0	0	0
brca	4059	BCAM	uc002ozu.2	uc002ozt.1	0	0	0	0
brca	56970	ATXN7L3	uc002iga.2	uc010wiv.1	1	0	0	0
brca	79109	MAPKAP1	uc004bpv.2	uc004bqa.2	0	0	0	0
brca	6809	STX3	uc001nog.2	uc010rky.1	1	0	0	0
brca	54829	ASPN	uc004ase.1	uc010mqy.1	1	0	0	0
brca	1609	DGKQ	uc003gbw.2	uc010ibn.2	1	0	0	0
brca	120534	C11orf46	uc001mso.1	uc001msp.2	1	1	0	1
brca	57674	RNF213	uc002jyh.1	uc010dhx.1	1	0	0	0
brca	1802	DPH2	uc001ckz.2	uc001cla.2	0	0	0	0
brca	126432	RINL	uc002ojr.1	uc010xuo.1	0	0	0	0
brca	4953	ODC1	uc002rao.1	uc002ran.1	1	0	0	0
brca	81628	TSC22D4	uc003uva.2	uc011kjv.1	0	0	0	0
brca	7922	SLC39A7	uc003odf.2	uc003odh.2	1	1	0	0
brca	22920	KIFAP3	uc001ggv.2	uc010plx.1	1	1	0	0
brca	9731	KIAA0562	uc001aky.2	uc010nzm.1	1	0	0	0
brca	6386	SDCBP	uc003xtn.2	uc011led.1	1	0	0	0
brca	6899	TBX1	uc002zqa.1	uc002zqb.2	0	1	0	0
brca	22985	ACIN1	uc001wis.3	uc001wir.3	1	1	0	0
brca	11314	CD300A	uc002jkv.2	uc010dfs.2	1	1	0	0
brca	54953	C1orf27	uc001grw.2	uc010por.1	1	0	0	0
brca	115509	ZNF689	uc010bzy.2	uc002dyx.2	0	1	0	0
brca	54700	RRN3	uc002dde.2	uc010uzp.1	1	0	0	0
brca	153571	C5orf38	uc011cmj.1	uc011cmg.1	0	0	0	0
brca	8740	TNFSF14	uc002mfk.1	uc002mfj.1	0	0	0	0
brca	3419	IDH3A	uc002bdd.2	uc002bdg.2	0	0	0	0
brca	27315	PGAP2	uc010qxy.1	uc001lyn.3	0	0	0	0
brca	401115	C4orf48	uc003geo.3	uc003gep.3	0	0	0	0
brca	56097	PCDHGC5	uc003lla.1	uc011dbc.1	0	0	0	0
brca	10276	NET1	uc001iib.2	uc010qar.1	1	0	0	0
brca	51252	FAM178B	uc002sxi.3	uc002sxk.3	0	0	0	0
brca	8454	CUL1	uc003wey.2	uc003wfa.2	1	0	0	0
brca	153770	PLAC8L1	uc011dbp.1	uc003lnv.2	0	0	0	0
brca	55147	RBM23	uc001whg.2	uc001whj.2	0	1	0	0
brca	81037	CLPTM1L	uc003jch.2	uc003jcg.2	1	0	0	0
brca	83440	ADPGK	uc010ukw.1	uc002ave.3	1	0	0	0
brca	54431	DNAJC10	uc002uow.1	uc010fro.1	1	0	1	0
brca	387990	TOMM20L	uc010trq.1	uc001xdr.1	0	1	0	0
